"SubscriptionItemID","SubscriptionID","SubscriptionItemType","SubscriptionItemName","ProductID","VariationID","ProductSKU","Quantity","LineSubtotal","LineSubtotalTax","LineTotal","LineTotalTax","TaxClass","LineTaxData"
"91468","67544","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"91499","67557","line_item","Kombucha Original Abonnement (4x 1L)","10371","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"91531","67573","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"3","89.97","0.00","89.97","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"91604","67690","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"99055","67720","line_item","Waterkefir Original Abonnement (4x 1L)","11155","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:8:""subtotal"";a:0:{}s:5:""total"";a:0:{}}"
"91690","67732","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"91698","67736","line_item","Kombucha Original Abonnement (4x 1L)","10371","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"91743","67789","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"91795","67811","line_item","Originals Mix Abonnement (4x 1L)","11159","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"91879","67851","line_item","Originals Mix Abonnement (4x 1L)","11159","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"93632","67896","line_item","Originals Mix Abonnement (4x 1L)","11159","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:8:""subtotal"";a:0:{}s:5:""total"";a:0:{}}"
"92070","67970","line_item","Originals Mix Abonnement (4x 1L)","11159","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"92095","67981","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"92115","67990","line_item","Waterkefir Original Abonnement (4x 1L)","11155","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"92143","68080","line_item","Originals Mix Abonnement (4x 1L)","11159","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"92210","68302","line_item","Originals Mix Abonnement (4x 1L)","11159","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"92214","68304","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"94472","68466","line_item","Originals Mix Abonnement (4x 1L)","11159","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:8:""subtotal"";a:0:{}s:5:""total"";a:0:{}}"
"92393","68855","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"92425","69643","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"112378","69649","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:8:""subtotal"";a:0:{}s:5:""total"";a:0:{}}"
"92478","70431","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"92503","70443","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"92516","70450","line_item","Originals Mix Abonnement (4x 1L)","11159","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"92541","70462","line_item","Kombucha Original Abonnement (4x 1L)","10371","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"92622","70505","line_item","Probiotica Ampullen Abonnement (28x 9ml)","47390","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
"92657","70521","line_item","4x 1L Waterkefir Original Abonnement","11155","0",NULL,"1","29.99","0.00","29.99","0.00",,"a:2:{s:5:""total"";a:0:{}s:8:""subtotal"";a:0:{}}"
