"SubscriptionShippingID","SubscriptionID","ShippingMethodName","ShippingCost","ShippingTax"
"68603","54026","GRATIS","0.00","0.00"
"104008","54076","Verzendkosten","3.99","0.00"
"104009","54081","Verzendkosten","3.99","0.00"
"104010","54101","Verzendkosten","3.99","0.00"
"104011","54113","Verzendkosten","3.99","0.00"
"68793","54128","GRATIS","0.00","0.00"
"104012","54145","Verzendkosten","3.99","0.00"
"68856","54157","GRATIS","0.00","0.00"
"68861","54159","GRATIS","0.00","0.00"
"104013","54175","Verzendkosten","3.99","0.00"
"68910","54182","GRATIS","0.00","0.00"
"104014","54185","Verzendkosten","3.99","0.00"
"68959","54208","GRATIS","0.00","0.00"
"104015","54251","Verzendkosten","3.99","0.00"
"69138","54399","GRATIS","0.00","0.00"
"104016","54418","Verzendkosten","3.99","0.00"
"69225","54455","GRATIS","0.00","0.00"
"69359","54518","GRATIS","0.00","0.00"
"69363","54520","GRATIS","0.00","0.00"
"104017","54556","Verzendkosten","3.99","0.00"
"69539","54563","GRATIS","0.00","0.00"
"104018","54588","Verzendkosten","3.99","0.00"
"69675","54636","GRATIS","0.00","0.00"
"69690","54644","GRATIS","0.00","0.00"
"104019","54649","Verzendkosten","3.99","0.00"
"69766","54679","GRATIS","0.00","0.00"
"104020","54686","Verzendkosten","3.99","0.00"
"69856","54727","GRATIS","0.00","0.00"
"104021","54776","Verzendkosten","3.99","0.00"
"104022","54808","Verzendkosten","3.99","0.00"
"70136","54865","GRATIS","0.00","0.00"
"104023","54868","Verzendkosten","3.99","0.00"
